file_id,search_term,score
GM12878,GM12878,0.20272395991661793
HepG2,GM12878,0.5960080084850135
HepG2,GM12878,0.7325366057186735
K562,GM12878,0.37949988158159104
HepG2,GM12878,0.7233983443505916
HEK293,GM12878,0.6309510569376102
H1,GM12878,0.845489457779355
K562,GM12878,0.49452172652334075
HeLa-S3,GM12878,0.7734966746459435
HeLa-S3,GM12878,0.7753265920269312
HepG2,GM12878,0.7050294465481306
HepG2,GM12878,0.7728508611334577
liver,GM12878,0.8013758546440601
K562,GM12878,0.5157094512234734
MCF-7,GM12878,0.6300217053432058
HEK293,GM12878,0.6258243274006383
HepG2,GM12878,0.7867939721301465
HepG2,GM12878,0.774359986735637
GM12878,GM12878,0.3200211875194055
K562,GM12878,0.44796046307534737
GM12878,GM12878,0.12190206962797559
K562,GM12878,0.4372072651962535
HEK293,GM12878,0.7049707233691398
MCF-7,GM12878,0.5091154063860226
K562,GM12878,0.45775915438283815
HepG2,GM12878,0.7555301318529242
K562,GM12878,0.5726906247559389
HepG2,GM12878,0.7776001942709527
liver,GM12878,0.7292560176244407
K562,GM12878,0.4927931010342466
MCF-7,MCF-7,0.19127082544004717
K562,MCF-7,0.7072362469314832
GM12878,MCF-7,0.5454182193605388
GM12878,MCF-7,0.7420894622251892
K562,MCF-7,0.7924915841468039
HEK293,MCF-7,0.7101838172364954
K562,MCF-7,0.742176787954578
GM12878,MCF-7,0.7710717945370311
HEK293,MCF-7,0.6981994873596331
GM12878,MCF-7,0.593720415998825
GM12878,MCF-7,0.7961093487849786
HEK293,MCF-7,0.6567648098617982
HEK293,MCF-7,0.6430162577555685
K562,MCF-7,0.9480274914025966
K562,MCF-7,0.8777110189278063
K562,MCF-7,0.7103483927192356
GM12878,MCF-7,0.7412254438142216
HepG2,MCF-7,0.7076539478040498
GM12878,MCF-7,0.7478964758718238
HEK293,MCF-7,0.7450868264153476
GM12878,MCF-7,0.6557099921299077
HEK293,MCF-7,0.7629730164597488
MCF-7,MCF-7,0.33821722435011464
HEK293,MCF-7,0.7841605371199736
GM12878,MCF-7,0.6352944999764587
HeLa-S3,MCF-7,0.7340985243000611
HepG2,MCF-7,0.9206494360054098
HeLa-S3,MCF-7,0.8042556480538643
HEK293,MCF-7,0.7116043820111544
HepG2,MCF-7,0.7207717754595346
K562,MCF-7,0.7328526021475397
K562,MCF-7,0.8755064243326032
K562,MCF-7,0.7759292926341055
SK-N-SH,MCF-7,0.8251254716323455
HEK293,MCF-7,0.6810482676927951
MCF-7,MCF-7,0.1587236480594985
SK-N-SH,MCF-7,0.760083316662568
H1,MCF-7,0.586563545689309
HepG2,MCF-7,0.6723377564442443
HEK293,MCF-7,0.7063897648623592
HEK293,MCF-7,0.7977301177496792
H1,MCF-7,0.7075165256647356
HepG2,MCF-7,0.6395257541205759
HepG2,MCF-7,0.6223849276112818
MCF-7,MCF-7,0.1337146171088761
GM12878,MCF-7,0.7435587333133191
K562,MCF-7,0.5959473895159766
K562,MCF-7,0.7205414196198052
liver,MCF-7,0.794873344952485
K562,MCF-7,0.7628492735273822
K562,MCF-7,0.7630704476230454
HEK293,MCF-7,0.6504385793236003
A549,MCF-7,0.7357172858558243
K562,MCF-7,0.783217690244228
HEK293,MCF-7,0.5670041433589028
MCF-7,MCF-7,0.21697965556719412
K562,MCF-7,0.71543016874999
HepG2,MCF-7,0.7493493194288745
K562,MCF-7,0.7768342331986533
MCF-7,MCF-7,0.37102271619575977
HEK293,MCF-7,0.7328189309224002
K562,MCF-7,0.7752943267553882
K562,MCF-7,0.6584070884197608
HepG2,MCF-7,0.7611043636647172
K562,MCF-7,0.7209312151375793
MCF-7,MCF-7,0.309444921295285
HEK293,MCF-7,0.7872066821914556
GM12878,MCF-7,0.5638061733860604
H1,MCF-7,0.7354359296405355
A549,MCF-7,0.7504280713775708
HEK293,MCF-7,0.719980515979191
K562,MCF-7,0.6720143489403354
HEK293,MCF-7,0.685792875698592
K562,MCF-7,0.5384359720626302
HepG2,MCF-7,0.5472928575920388
K562,MCF-7,0.7983684577444483
K562,MCF-7,0.7924204158311026
K562,MCF-7,0.7470329987907742
